success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,subject_id,participant_id,age,gender,prompt,phase,condition,lure_bin
,image,242,386560,0.0-225.0-0.0,715.5999994,run_exp/static/images/Set 6_rs/076a.jpg,86,,,,,,test,TR,4
,show_choice,243,387063,0.0-225.0-1.0,null,run_exp/static/images/Set 6_rs/076a.jpg,null,,,,,,test,TR,
,html-keyboard-response,244,387566,0.0-225.0-2.0,null,<p></p>,null,,,,,,,,
,image,245,388311,0.0-226.0-0.0,743.3999996,run_exp/static/images/Set 6_rs/117b.jpg,86,,,,,,test,TL,5
,show_choice,246,388816,0.0-226.0-1.0,null,run_exp/static/images/Set 6_rs/117b.jpg,null,,,,,,test,TL,
,html-keyboard-response,247,389316,0.0-226.0-2.0,null,<p></p>,null,,,,,,,,
,image,248,390544,0.0-227.0-0.0,1226.7,run_exp/static/images/Set 6_rs/189a.jpg,66,,,,,,test,TF,5
,show_choice,249,391047,0.0-227.0-1.0,null,run_exp/static/images/Set 6_rs/189a.jpg,null,,,,,,test,TF,
,html-keyboard-response,250,391547,0.0-227.0-2.0,null,<p></p>,null,,,,,,,,
,image,251,392450,0.0-228.0-0.0,901.3999996,run_exp/static/images/Set 6_rs/036b.jpg,86,,,,,,test,TL,4
,show_choice,252,392955,0.0-228.0-1.0,null,run_exp/static/images/Set 6_rs/036b.jpg,null,,,,,,test,TL,
,html-keyboard-response,253,393459,0.0-228.0-2.0,null,<p></p>,null,,,,,,,,
,image,254,394473,0.0-229.0-0.0,1012.7,run_exp/static/images/Set 6_rs/079b.jpg,86,,,,,,test,TL,5
,show_choice,255,394975,0.0-229.0-1.0,null,run_exp/static/images/Set 6_rs/079b.jpg,null,,,,,,test,TL,
,html-keyboard-response,256,395476,0.0-229.0-2.0,null,<p></p>,null,,,,,,,,
,image,257,396377,0.0-230.0-0.0,899.8000002,run_exp/static/images/Set 6_rs/154a.jpg,86,,,,,,test,TR,3
,show_choice,258,396881,0.0-230.0-1.0,null,run_exp/static/images/Set 6_rs/154a.jpg,null,,,,,,test,TR,
,html-keyboard-response,259,397387,0.0-230.0-2.0,null,<p></p>,null,,,,,,,,
,image,260,398153,0.0-231.0-0.0,765.3999996,run_exp/static/images/Set 6_rs/171a.jpg,66,,,,,,test,TF,1
,show_choice,261,398655,0.0-231.0-1.0,null,run_exp/static/images/Set 6_rs/171a.jpg,null,,,,,,test,TF,
,html-keyboard-response,262,399158,0.0-231.0-2.0,null,<p></p>,null,,,,,,,,
,image,263,400081,0.0-232.0-0.0,922.6999998,run_exp/static/images/Set 6_rs/123b.jpg,86,,,,,,test,TL,2
,show_choice,264,400583,0.0-232.0-1.0,null,run_exp/static/images/Set 6_rs/123b.jpg,null,,,,,,test,TL,
,html-keyboard-response,265,401089,0.0-232.0-2.0,null,<p></p>,null,,,,,,,,
,image,266,402017,0.0-233.0-0.0,927.1999998,run_exp/static/images/Set 6_rs/140a.jpg,78,,,,,,test,TF,1
,show_choice,267,402521,0.0-233.0-1.0,null,run_exp/static/images/Set 6_rs/140a.jpg,null,,,,,,test,TF,
,html-keyboard-response,268,403022,0.0-233.0-2.0,null,<p></p>,null,,,,,,,,
,image,269,404130,0.0-234.0-0.0,1107.099999,run_exp/static/images/Set 6_rs/008b.jpg,78,,,,,,test,TL,2
,show_choice,270,404631,0.0-234.0-1.0,null,run_exp/static/images/Set 6_rs/008b.jpg,null,,,,,,test,TL,
,html-keyboard-response,271,405134,0.0-234.0-2.0,null,<p></p>,null,,,,,,,,
,image,272,406210,0.0-235.0-0.0,1074.7,run_exp/static/images/Set 6_rs/108a.jpg,86,,,,,,test,TR,5
,show_choice,273,406715,0.0-235.0-1.0,null,run_exp/static/images/Set 6_rs/108a.jpg,null,,,,,,test,TR,
,html-keyboard-response,274,407216,0.0-235.0-2.0,null,<p></p>,null,,,,,,,,
,image,275,408106,0.0-236.0-0.0,888.6000004,run_exp/static/images/Set 6_rs/148a.jpg,86,,,,,,test,TR,2
,show_choice,276,408610,0.0-236.0-1.0,null,run_exp/static/images/Set 6_rs/148a.jpg,null,,,,,,test,TR,
,html-keyboard-response,277,409111,0.0-236.0-2.0,null,<p></p>,null,,,,,,,,
,image,278,409945,0.0-237.0-0.0,832.2999992,run_exp/static/images/Set 6_rs/122a.jpg,86,,,,,,test,TR,5
,show_choice,279,410450,0.0-237.0-1.0,null,run_exp/static/images/Set 6_rs/122a.jpg,null,,,,,,test,TR,
,html-keyboard-response,280,410952,0.0-237.0-2.0,null,<p></p>,null,,,,,,,,
,image,281,412010,0.0-238.0-0.0,1057.3,run_exp/static/images/Set 6_rs/149a.jpg,66,,,,,,test,TF,1
,show_choice,282,412515,0.0-238.0-1.0,null,run_exp/static/images/Set 6_rs/149a.jpg,null,,,,,,test,TF,
,html-keyboard-response,283,413017,0.0-238.0-2.0,null,<p></p>,null,,,,,,,,
,image,284,414009,0.0-239.0-0.0,991.5999994,run_exp/static/images/Set 6_rs/061a.jpg,86,,,,,,test,TR,5
,show_choice,285,414515,0.0-239.0-1.0,null,run_exp/static/images/Set 6_rs/061a.jpg,null,,,,,,test,TR,
,html-keyboard-response,286,415016,0.0-239.0-2.0,null,<p></p>,null,,,,,,,,
,image,287,415882,0.0-240.0-0.0,865,run_exp/static/images/Set 6_rs/138b.jpg,86,,,,,,test,TL,1
,show_choice,288,416384,0.0-240.0-1.0,null,run_exp/static/images/Set 6_rs/138b.jpg,null,,,,,,test,TL,
,html-keyboard-response,289,416886,0.0-240.0-2.0,null,<p></p>,null,,,,,,,,
,image,290,417690,0.0-241.0-0.0,802.8999996,run_exp/static/images/Set 6_rs/071b.jpg,86,,,,,,test,TL,4
,show_choice,291,418195,0.0-241.0-1.0,null,run_exp/static/images/Set 6_rs/071b.jpg,null,,,,,,test,TL,
,html-keyboard-response,292,418701,0.0-241.0-2.0,null,<p></p>,null,,,,,,,,
